
email_text,label
Verify your account immediately to avoid suspension,1
Your bank account has been temporarily locked click the link to unlock,1
Urgent action required confirm your login details now,1
Security alert update your password immediately,1
Your PayPal account has suspicious activity verify now,1
Important notice confirm your account information immediately,1
Your email storage is full click here to upgrade,1
Your account will be deleted verify your identity now,1
Confirm your banking information to restore account access,1
Click the secure link to update your login credentials,1
Unusual login attempt detected verify your identity now,1
Payment failed update your billing information immediately,1
Your account has been flagged for suspicious activity verify now,1
Immediate action required confirm your email password,1
Your credit card verification is required immediately,1
Dear user your account requires urgent verification,1
Your Netflix payment failed update payment information,1
Update your Apple ID password immediately,1
Suspicious login attempt confirm your account credentials,1
Important security notification verify your account now,1
Team meeting scheduled tomorrow at 10 AM,0
Project report has been uploaded to the shared drive,0
Reminder submit your weekly progress report today,0
Lunch meeting scheduled with the client tomorrow,0
Please review the attached project documentation,0
Company holiday announcement for next week,0
Weekly team meeting agenda attached,0
Reminder project deadline approaching next Monday,0
Team collaboration meeting scheduled today afternoon,0
New company policy update please review,0
Client presentation scheduled for tomorrow morning,0
Reminder to submit timesheets before Friday,0
The quarterly report is ready for review,0
Team building event planned for next Friday,0
Please review the updated project timeline,0
Weekly standup meeting scheduled for today,0
The development report has been shared,0
Please check the updated meeting notes,0
Reminder to attend the training session tomorrow,0
Project milestone achieved congratulations team,0
Please review the attached budget report,0
Client feedback has been received please review,0
The design document has been updated,0
Reminder for tomorrow's department meeting,0
Please approve the new project proposal,0
Team discussion scheduled regarding system architecture,0
Project planning meeting scheduled this afternoon,0
Documentation update required for the new module,0
Reminder to complete your assigned tasks today,0
Please review the shared development roadmap,0
